"filename", "language", "Shell Script", "JavaScript", "comment", "blank", "total"
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\NYTBestSellers\test-cases\ex3Legend.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\NYTBestSellers\test-cases\ex4legend.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Nightingale\Nightingale.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Nightingale\test-cases\Rose.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\RedAndBlueAmerica\RedAndBlueAmerica.js", "JavaScript", 0, 16, 0, 3, 19
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\RedAndBlueAmerica\test-cases\ex0.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Suicide\Suicide.js", "JavaScript", 0, 16, 0, 3, 19
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Suicide\test-cases\ex0.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\TWTS\TWTS.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\TWTS\test-cases\v0.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\Titanic.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\CircularAxesShowcase.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\Figure1a.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\Figures1_2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\Figures1_2_v2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\Figures1_2_v3.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\Figures1_2_v3_2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\Try4.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\ex1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\ex2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\ex3.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\ex4.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\ex5.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\fitting.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\v0.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\v1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\v2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\v3.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\PAPER_PUB\test-suites\Titanic\test-cases\v4.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\dev-suite-names.js", "JavaScript", 0, 5, 0, 0, 5
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\dev-tests-index.js", "JavaScript", 0, 30, 0, 9, 39
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\algaes\algaes.js", "JavaScript", 0, 22, 0, 5, 27
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\algaes\test-cases\outerlayout.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\cars.js", "JavaScript", 0, 70, 0, 5, 75
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\atest2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\bars_simple.js", "JavaScript", 0, 1, 0, 0, 1
